id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,location.latitude,location.longitude,location.human_address
13383392,JH169677,2024-02-28T23:00:00.000,058XX W MELROSE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1633,016,30,15,08B,1136877,1921011,2024,2024-03-07T15:41:23.000,41.939412054,-87.772350901,25,22254,15,342,21,52,12,27,30,41.939412054,-87.772350901,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383314,JH169679,2024-02-28T23:00:00.000,001XX N STATE ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,CTA TRAIN,True,False,0111,001,42,32,24,1176330,1901649,2024,2024-03-07T15:41:23.000,41.885481891,-87.627935689,22,14309,38,92,36,42,22,88,42,41.885481891,-87.627935689,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384609,JH171213,2024-02-28T23:00:00.000,003XX N MASON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1512,015,29,25,14,1136712,1901595,2024,2024-03-07T15:41:23.000,41.886135205,-87.773423179,52,22216,26,618,7,32,25,85,29,41.886135205,-87.773423179,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383958,JH170495,2024-02-28T23:00:00.000,088XX S ADA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2222,022,21,71,07,1168873,1846245,2024,2024-03-07T15:41:23.000,41.733612297,-87.656920324,18,21554,70,533,13,59,9,244,21,41.733612297,-87.656920324,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383366,JH169676,2024-02-28T22:57:00.000,011XX N KEDVALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1111,011,37,23,26,1148507,1907289,2024,2024-03-07T15:41:23.000,41.901540797,-87.72996174,4,4299,24,99,45,5,16,68,37,41.901540797,-87.72996174,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383378,JH169642,2024-02-28T22:51:00.000,050XX W WASHINGTON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,1533,015,28,25,04A,1142806,1900034,2024,2024-03-07T15:41:23.000,41.88174034,-87.751083213,11,22216,26,696,23,32,25,137,28,41.88174034,-87.751083213,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383312,JH169656,2024-02-28T22:46:00.000,038XX N PACIFIC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1631,016,38,17,08B,1122022,1924527,2024,2024-03-07T15:41:23.000,41.949314182,-87.826872114,39,22254,17,445,19,52,12,29,38,41.949314182,-87.826872114,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384128,JH170695,2024-02-28T22:45:00.000,077XX S MAY ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,0612,006,17,71,03,1169992,1853575,2024,2024-03-07T15:41:23.000,41.753702617,-87.652608434,17,21554,70,572,31,59,20,230,17,41.753702617,-87.652608434,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383515,JH169899,2024-02-28T22:40:00.000,0000X W SUPERIOR ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1832,018,42,8,14,1176127,1905362,2024,2024-03-07T15:41:23.000,41.895675136,-87.628569146,22,4446,37,669,11,55,14,72,42,41.895675136,-87.628569146,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383347,JH169664,2024-02-28T22:35:00.000,096XX S BRENNAN AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,0431,004,7,51,03,1193218,1841682,2024,2024-03-07T15:41:23.000,41.720531358,-87.567882137,43,21202,48,252,37,25,19,249,5,41.720531358,-87.567882137,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
